Step,#Conferences,Payoff Per Video Reference,Happiness Per Video Reference,Avg Payoff in Window,Avg Happiness in Window
2,110,0.2267272727272725,-0.036363636363633454,0.2267272727272725,-0.036363636363633454
3,51,0.36156862745098023,-0.07843137254901701,0.2694409937888197,-0.049689440993786006
4,48,0.3393749999999997,-0.08333333333333053,0.28550239234449737,-0.057416267942580916
5,61,0.05524590163934413,-0.39344262295081406,0.23348148148148126,-0.1333333333333299
6,50,0.17979999999999996,-0.19999999999999257,0.22509374999999981,-0.14374999999999594
7,49,0.5530612244897953,0.22448979591837243,0.26864498644986423,-0.09485094850948089
8,48,0.6072916666666667,0.08333333333333572,0.3076258992805753,-0.07434052757793366
9,68,-0.013676470588235434,-0.514705882352943,0.2625773195876287,-0.13608247422680095
10,58,0.37155172413793075,0.06896551724138238,0.2742173112338856,-0.11418047882135965
11,58,0.415862068965517,0.03448275862069353,0.28788685524126434,-0.09983361064891524
12,54,0.2611111111111107,-0.22222222222220808,0.2856793893129769,-0.10992366412213328
13,47,0.18531914893616988,-0.19148936170211772,0.2789601139601137,-0.11538461538461087
14,52,0.4899999999999998,0.019230769230770203,0.29351458885941617,-0.10610079575596389
15,40,0.8157499999999999,0.32500000000001655,0.31982367758186375,-0.08438287153651902
16,53,0.3005660377358492,-0.037735849056587036,0.31861865407319934,-0.081463990554894
17,42,0.32928571428571396,-0.02380952380952071,0.3191226096737906,-0.07874015748030945
18,55,0.3589090909090907,-0.14545454545453226,0.3214406779661015,-0.08262711864406183
19,42,0.2183333333333332,-0.14285714285714593,0.317048681541582,-0.0851926977687571
20,50,0.4565999999999997,0.10000000000000306,0.32378378378378364,-0.0762548262548208
21,44,0.6129545454545452,0.1363636363636378,0.33556481481481465,-0.0675925925925873
22,46,0.08086956521739103,-0.2608695652173738,0.325159857904085,-0.07548845470692138
23,48,0.4304166666666666,-0.16666666666666197,0.32946337308347506,-0.0792163543441169
24,40,0.2439999999999999,-0.14999999999999883,0.3266474464579899,-0.08154859967050511
25,53,0.5098113207547165,0.3396226415094548,0.33430939226519313,-0.06393054459352178
26,52,0.23961538461538437,-0.15384615384614947,0.33057619408642885,-0.06747536012129786
27,61,0.33573770491803273,-0.06557377049180023,0.33080434782608675,-0.06739130434782006
28,55,0.5183636363636364,0.036363636363637285,0.3379930313588848,-0.06341463414633564
29,55,0.5454545454545453,0.1636363636363692,0.34565100671140914,-0.055033557046974046
30,52,0.5463461538461539,0.19230769230770114,0.35241893644617356,-0.04669260700388513
31,48,0.48145833333333304,-0.041666666666663195,0.3563144654088048,-0.04654088050313881
32,51,0.1999999999999998,-0.07843137254902488,0.35145642900670293,-0.04753199268738024
33,43,0.028604651162790564,-0.27906976744185535,0.34321258907363394,-0.05344418052255984
34,53,0.6184905660377354,0.15094339622641872,0.3516119746689692,-0.047207829591243845
35,50,0.28120000000000006,-0.2400000000000063,0.3496418578623388,-0.052602126468937256
36,49,0.314081632653061,-0.14285714285714038,0.34869281045751604,-0.05501089324618232
37,50,0.08779999999999993,-0.2199999999999977,0.3417762460233295,-0.059384941675498744
38,46,0.15413043478260827,-0.10869565217391149,0.3373084886128362,-0.06055900621117524
39,51,0.5935294117647052,0.23529411764706964,0.3438981341401914,-0.052950075642960164
40,55,0.13927272727272727,-0.32727272727272316,0.338375858684985,-0.06035328753679577
41,67,0.04417910447761174,-0.3582089552238952,0.3290118764845603,-0.06983372921614762
42,49,0.2795918367346936,-0.040816326530615815,0.3278876508820796,-0.06917363045496329
43,47,-0.014680851063830025,-0.5531914893617182,0.3205724670604268,-0.07950931394820158
44,47,0.10936170212765932,-0.29787234042552696,0.31615658362989296,-0.08407473309608161
45,42,0.07499999999999965,-0.1904761904761807,0.31173362445414815,-0.08602620087335855
46,53,9.433962264149045E-4,-0.3584905660377445,0.30470337174562495,-0.09218950064020125
47,56,0.26160714285714287,-0.2142857142857148,0.30369737390579377,-0.09503959983326034
48,36,0.5141666666666667,-0.11111111111110311,0.3068090349075972,-0.09527720739219354
49,52,0.1490384615384612,-0.36538461538463457,0.3035102533172494,-0.10092480900683244
50,45,0.14377777777777737,-0.2666666666666566,0.3006714060031593,-0.10387045813585774
51,49,0.506734693877551,0.1224489795918429,0.30458349476946894,-0.09957380860131404
52,45,0.09333333333333305,-0.17777777777777157,0.3009634424980957,-0.10091393754759757
53,65,0.20492307692307699,-0.2153846153846189,0.2986436269044962,-0.10367892976588312
54,44,0.5240909090909089,0.22727272727273148,0.30227056672760483,-0.09835466179158732
55,46,0.08652173913043465,-0.21739130434781925,0.2987019057892842,-0.10032362459546601
56,47,0.37191489361702107,-0.08510638297872497,0.29991867043847215,-0.10007072135784689
57,49,0.4032653061224485,0.04081632653061443,0.3016788321167881,-0.09767118526242298
58,45,0.30155555555555547,-0.17777777777777798,0.30167693360711817,-0.09890485968514405
59,47,0.45914893617021274,-0.021276595744681513,0.30416975412596814,-0.09767598518019231
60,51,0.6105882352941175,0.1372549019607831,0.3093443708609269,-0.09370860927152021
61,52,-0.016538461538461734,-0.48076923076922645,0.3038281249999998,-0.10026041666666367
62,51,0.21156862745098004,-0.1176470588235216,0.30232148575088036,-0.10054434838296201
63,49,0.5999999999999999,0.20408163265306323,0.3069199243379569,-0.09583858764186326
64,52,0.30211538461538434,-0.01923076923076957,0.3068424317617864,-0.09460297766749078
65,47,0.21936170212765935,-0.2127659574468083,0.30558544787526726,-0.09630082543564362
66,45,0.16177777777777727,-0.2222222222222204,0.30363389626055465,-0.09800965018093795
67,56,0.38339285714285687,-4.0867916689668604E-15,0.30495848161328565,-0.09638196915776703
68,55,0.17618181818181794,-0.1636363636363713,0.30289174204843866,-0.09746133644586835
69,46,-0.05652173913043491,-0.3913043478260284,0.29813129858911586,-0.10135329686149962
70,60,0.4684999999999998,0.09999999999999719,0.3010246249646191,-0.09793376733653789
71,49,-0.03571428571428578,-0.44897959183674196,0.2964182021217195,-0.10273590173087345
72,47,0.493191489361702,-0.21276595744680035,0.29896665748139967,-0.10416092587489344
73,49,0.3414285714285712,-0.08163265306122396,0.29953235454051097,-0.10386079390973037
74,51,0.15607843137254868,-0.27450980392156976,0.2975703942075622,-0.1061946902654836
75,57,0.3650877192982454,0.0701754385964898,0.2985868991019544,-0.10353935552033502
76,52,0.08634615384615356,-0.3461538461538206,0.2957113079729024,-0.10682647212089294
77,56,0.41464285714285704,0.1964285714285756,0.2974216743708268,-0.10246533127888723
78,34,0.08294117647058802,-0.5882352941176507,0.29556517311608943,-0.10667006109979302
79,50,0.313,-0.31999999999999934,0.2957843137254901,-0.10935143288084136
80,46,0.637608695652174,0.1304347826086943,0.2996918489065605,-0.10661033797216377
81,47,0.19255319148936137,-0.10638297872339993,0.2984549250798328,-0.10660771309260299
82,52,0.41576923076923045,0.15384615384614547,0.2999345137036137,-0.10332282318699665
83,45,0.5406666666666666,0.044444444444444085,0.3025335892514393,-0.10172744721688752
84,44,0.014772727272727127,-0.2727272727272727,0.29952754036087353,-0.10351377018043381
85,52,0.15692307692307672,-0.4423076923076893,0.2977884615384614,-0.10764540337710765
86,47,0.42340425531914877,0.1276595744680839,0.29915796798886557,-0.10508002783576598
87,47,0.5070212765957446,0.17021276595744514,0.3013997246443321,-0.10211106011931784
88,59,0.3908474576271185,1.3520258359206355E-15,0.30259452116821356,-0.10074711342539894
89,52,0.10615384615384595,-0.1538461538461533,0.300308793913627,-0.10136495860371157
90,51,0.10647058823529376,-0.23529411764706248,0.29812168141592904,-0.10287610619468744
91,46,0.32978260869565224,-0.10869565217391235,0.29844064826982025,-0.10293473499780709
92,52,0.5298076923076922,0.09615384615385188,0.3010459073191856,-0.10069294066695254
93,61,0.6327868852459013,0.21311475409836692,0.30537080572771946,-0.09660183799956967
94,39,0.25410256410256427,-0.15384615384615863,0.3049470114455276,-0.09707503179312985
95,48,0.8241666666666664,0.35416666666666413,0.31017624842635316,-0.09253042383549868
96,52,0.3165384615384612,-0.07692307692307408,0.310244914902449,-0.09236197592361697
97,60,0.04533333333333304,-0.333333333333349,0.3069864698646985,-0.09532595325953004
98,49,0.08489795918367336,-0.20408163265306997,0.3047777552263039,-0.09640755023340532
99,61,0.015081967213114585,-0.29508196721311375,0.30123496391339205,-0.09883720930232316
100,55,0.3536363636363634,-0.018181818181821942,0.30180646440610737,-0.09795756494150074
101,48,-0.16625000000000043,-0.5416666666666768,0.2973934394028677,-0.10214103319583355
102,51,0.47999999999999965,-0.01960784313725014,0.2992045896538311,-0.10132244262932485
103,48,0.5952083333333332,0.1666666666666761,0.30194219653179183,-0.09884393063583582
104,42,0.3685714285714283,-0.09523809523809414,0.3024770642201834,-0.09881498470947782
105,50,-0.01519999999999993,-0.32000000000000106,0.29946989776599764,-0.10090874668685876
106,53,0.16132075471698087,-0.30188679245284084,0.29809746954076843,-0.10290534208059766
107,37,0.20216216216216193,-0.16216216216216417,0.2974367088607594,-0.10331347728964792
108,59,0.06864406779661003,-0.40677966101694685,0.29495120603940334,-0.10661020069968487
109,38,0.6242105263157891,0.13157894736842105,0.29723898336076054,-0.10495520204790428
110,44,0.21909090909090895,-0.1818181818181827,0.29661527299111184,-0.10556865590422429
111,43,0.18697674418604582,-0.09302325581394844,0.295766738660907,-0.10547156227501589
112,53,-0.03132075471698164,-0.5660377358490403,0.29267605633802807,-0.1098234979497214
113,52,0.40634615384615375,-0.038461538461536215,0.29372019077901423,-0.10916799152093044
114,32,0.41874999999999973,0.06250000000000111,0.2944229755840505,-0.10820305638503201
115,43,0.2388372093023256,-0.1860465116279088,0.2940062761506275,-0.10878661087865889
116,47,0.031063829787233863,-0.3829787234042554,0.29186927200415,-0.11101504409475832
117,50,-0.10100000000000031,-0.45999999999999164,0.2885016286644951,-0.11400651465797822
118,39,0.45256410256410234,0.07692307692307122,0.2895912806539509,-0.11273841961852642
119,50,0.3195999999999998,-0.07999999999999524,0.2898446470786896,-0.11246200607902515
120,42,0.13452380952380955,-0.11904761904761123,0.2887508383635144,-0.11250838363514194
121,51,0.19901960784313713,-0.21568627450979946,0.28799002493765585,-0.11338320864505176
122,45,0.0368888888888886,-0.44444444444444753,0.2861254125412541,-0.11584158415841361
123,53,-0.2850943396226418,-0.6603773584905631,0.2811729101913954,-0.12056273515458635
124,48,0.438333333333333,-0.06250000000001328,0.28239733809446516,-0.1201103716929049
125,51,-0.09941176470588285,-0.4313725490196235,0.2792627173213136,-0.12266580811332709
126,40,-0.024000000000000323,-0.4000000000000063,0.27732245681381956,-0.12444017914267244
127,46,0.47326086956521707,0.06521739130435135,0.2787535725627183,-0.12305493807557763
128,45,0.5362222222222219,0.15555555555555073,0.28058016711335326,-0.1210783540911222
129,47,0.12936170212765946,-0.404255319148921,0.27946791862284814,-0.1231611893583705
130,46,0.8584782608695651,0.23913043478261603,0.2836062771908017,-0.12057178371659216
131,57,0.26385964912280674,-0.21052631578946618,0.28343292776836587,-0.12136146619436111
132,53,0.24981132075471685,-0.3207547169811392,0.2831607088298197,-0.12297586312251559
133,49,0.15734693877550993,-0.04081632653061247,0.2822259287338893,-0.12236542835481229
134,45,0.15688888888888858,-0.2222222222222187,0.28137650602409636,-0.12304216867469682
135,50,0.2240000000000001,-0.35999999999999605,0.28094768310911805,-0.12481315396113403
136,51,0.47176470588235286,0.11764705882353038,0.28239133659694404,-0.12297878653018643
137,45,-0.4451111111111115,-0.6888888888888456,0.27756704980842906,-0.12673150604184863
138,48,0.703541666666666,0.31249999999998296,0.28055896985659934,-0.12364647351477694
139,52,0.549230769230769,0.07692307692307938,0.2825878594249201,-0.12213186174847306
140,55,0.23272727272727262,-0.25454545454545663,0.2821927676127359,-0.12318109782451889
141,53,0.20981132075471662,-0.18867924528303143,0.2816442665141549,-0.12367743780382989
142,52,-0.0792307692307696,-0.5576923076922916,0.2789809821175134,-0.12688049957422445
143,50,0.5609999999999996,0.23999999999999586,0.28096815107102585,-0.12429537767756281
144,50,0.44799999999999973,-0.04000000000000817,0.28213685978169595,-0.12370556954939632
145,38,0.48789473684210505,-4.165481921380414E-15,0.2832252227171491,-0.1230512249443188
146,45,0.07733333333333305,-0.35555555555557117,0.2819435606584589,-0.12449854751694382
147,64,0.014687499999999678,-0.3124999999999981,0.27959824489236246,-0.1261483614424773
148,62,0.5006451612903223,0.12903225806452032,0.28146159075458865,-0.12399728076138498
149,49,0.39938775510204066,-0.06122448979591436,0.2822420313344138,-0.12358184764991711
150,51,0.4617647058823528,-0.058823529411763574,0.28347015425888666,-0.12313883299798609
151,49,0.6253061224489793,0.3265306122448736,0.28570229211087417,-0.12020255863539278
152,49,-0.19265306122449005,-0.5306122448979592,0.28259896729776246,-0.12286508672050674
153,40,0.5619999999999997,-1.0227929614359255E-15,0.28407085473462396,-0.12221783221387954
154,56,0.47428571428571403,0.14285714285712736,0.2854634592757223,-0.12027716041312436
155,43,0.5246511627906976,-8.881784197001252E-16,0.2868005720228809,-0.11960478419136614
156,61,0.03737704918032761,-0.42622950819672095,0.2848381271765768,-0.12201728363214089
157,35,0.6305714285714283,0.1714285714285755,0.286391884951207,-0.12069851052901749
158,42,-0.12452380952380991,-0.1428571428571481,0.28418773946360154,-0.12081736909322968
159,43,-0.0027906976744189248,-0.32558139534883684,0.2826203480248952,-0.12193572970913101
160,53,0.36603773584905647,-0.15094339622641262,0.28317814786777695,-0.12212969972243103
161,44,0.2986363636363634,-0.0909090909090903,0.28326348808030116,-0.12195734002509263
162,48,0.42374999999999985,0.16666666666665875,0.2841045148416064,-0.12022948366175962
163,50,0.5643999999999998,0.34000000000000197,0.2858415964303421,-0.1173772930094185
164,62,0.26806451612903187,-0.06451612903225817,0.2857060270602706,-0.116974169741696
165,50,-0.13960000000000025,-0.2400000000000041,0.2831063569682152,-0.11772616136919178
166,58,0.4877586206896549,0.13793103448276364,0.2845472201990774,-0.11592619567856136
167,42,0.13833333333333303,-0.38095238095237277,0.28380555555555553,-0.11727053140096474
168,47,0.01148936170212746,-0.3404255319148832,0.2822685240782995,-0.11853008286297437
169,47,0.40510638297872326,0.08510638297872516,0.28295796513016475,-0.11738715070456024
170,57,-0.07666666666666681,-0.4561403508771769,0.2805266279207686,-0.11967738109358161
171,51,-0.09764705882352975,-0.4313725490195814,0.27825277057297804,-0.12155152086771813
172,66,0.18712121212121177,-0.18181818181816972,0.2775491343004211,-0.12201684604585684
173,56,0.02410714285714266,-0.2499999999999965,0.27589958158995814,-0.12284983728498187
174,41,0.17853658536585332,-0.3170731707317223,0.27543782533256217,-0.12377096587622727
175,53,0.13490566037735843,-0.2641509433962267,0.2745815129914923,-0.12462635088525922
176,48,-0.2789583333333338,-0.6249999999999947,0.2715435627715527,-0.12737251314886627
177,51,0.3294117647058822,-0.1960784313725475,0.27187904967602594,-0.12777083096509997
178,55,0.11709090909090868,-0.2727272727272798,0.2709173068233168,-0.12867148666967748
179,53,0.008679245283018715,-0.3396226415094121,0.2693565412689501,-0.12992700729926826
180,61,-0.031147540983606833,-0.26229508196722706,0.2673120678117332,-0.13082757082310784
181,34,0.5402941176470584,0.11764705882353788,0.2683433333333333,-0.12988888888888717
182,53,0.44264150943396174,0.03773584905660712,0.2693637468242572,-0.12890754446039812
183,50,0.08479999999999985,-0.35999999999999666,0.2683499945073053,-0.13017686476985435
184,39,0.12358974358974346,-0.23076923076923017,0.26773244366659377,-0.130605994311965
185,37,0.5489189189189186,0.05405405405404884,0.26886588953044993,-0.12986164070159978
186,45,0.29799999999999993,-6.638863841384395E-15,0.2690080225498699,-0.1292281006071102
187,53,0.21150943396226404,-0.15094339622640757,0.26867953002048073,-0.129352161259026
188,54,0.25666666666666643,-0.05555555555555832,0.2686100096452685,-0.1289250884149592
189,65,0.5699999999999998,0.030769230769232322,0.27069497658578123,-0.12782034908471523
190,48,0.11291666666666644,-0.33333333333333254,0.26989305379076667,-0.12886488775942231
191,52,0.3324999999999998,-0.05769230769229943,0.27023588879528226,-0.12847514743049535
192,51,0.028627450980391943,-0.43137254901961286,0.26894521839321256,-0.1300932230019885
193,46,0.6808695652173912,0.17391304347826478,0.2709204628374857,-0.12863546335869736
194,52,0.33346153846153853,-0.19230769230769149,0.27125764644893735,-0.12897874546396929
195,43,0.3825581395348837,0.023255813953479254,0.2717516515276631,-0.1283030553261751
196,59,0.17491525423728788,-0.2203389830508231,0.2711654868164564,-0.12886016210115758
197,45,0.32355555555555543,0.022222222222227087,0.27140625000000007,-0.12816584967320085
198,42,0.7014285714285712,0.38095238095238737,0.2732428309945089,-0.1259914582062215
199,47,0.6021276595744679,0.212765957446803,0.2748072057484061,-0.12438012346928273
200,55,0.3252727272727272,-0.03636363636364804,0.27508655394524967,-0.12389291465378255
201,55,0.29636363636363616,-0.18181818181818046,0.27520368331498357,-0.12421179061154873
202,56,0.45339285714285704,-0.07142857142857115,0.2767444902888196,-0.12488678675656474
203,58,0.33706896551724125,-0.08620689655172525,0.2766613032984715,-0.12489943684633788
204,42,0.3107142857142853,-0.07142857142857266,0.2765023143489636,-0.12487422016502155
205,56,0.4419642857142857,-0.07142857142857319,0.2787939192590356,-0.12292358803986556
206,49,0.4938775510204078,0.22448979591836596,0.28035340314136126,-0.12082158679017165
207,45,0.8122222222222218,0.17777777777777992,0.28141821112006454,-0.12117244157936996
208,54,0.3492592592592589,3.795831961507769E-16,0.28021240185222474,-0.12150191262331238
209,47,0.07531914893617007,-0.21276595744680496,0.2812569353374358,-0.11923736507616108
210,38,0.44447368421052597,0.052631578947368994,0.2813544930759123,-0.11968058222985796
211,42,0.3049999999999999,-0.023809523809517057,0.28066518173534477,-0.12017819175862962
212,58,0.2748275862068961,-0.17241379310344593,0.2807377795769659,-0.11992713288128584
213,64,0.29125,-0.20312500000000144,0.28125884016973124,-0.12012527783390442
214,53,0.10773584905660351,-0.03773584905660915,0.2792332558844328,-0.12041620365693366
215,43,0.18395348837209277,-0.2790697674418561,0.2766521914764694,-0.12290446374469668
216,54,0.23407407407407407,1.2695605883445077E-15,0.27629203271735836,-0.12269009391093481
217,44,0.5311363636363633,0.15909090909089937,0.2771993942453306,-0.12185764765269946
218,63,0.4798412698412697,0.22222222222222193,0.27803389488550384,-0.11953999798244616
219,49,0.11795918367346905,-0.24489795918366586,0.2774959677419355,-0.12006048387096657
220,52,0.1501923076923076,-0.17307692307692277,0.2759262245515016,-0.12144728885305266
221,53,0.29641509433962226,4.040138244918361E-15,0.27454234216091017,-0.12194139562984477
222,53,0.6535849056603774,0.2075471698113343,0.2774602535721472,-0.11954115516200325
223,57,0.03456140350877194,-0.3684210526315693,0.2753302503267315,-0.12073992158439611
224,53,0.7415094339622639,0.18867924528301813,0.2779367469879517,-0.11897590361445665
225,39,0.09487179487179435,-0.30769230769230643,0.27598330987331576,-0.12215966217574797
226,50,0.4727999999999999,-1.0443035325380378E-17,0.27716311343523714,-0.121379726468221
227,50,0.39459999999999995,0.07999999999999727,0.2773945434410549,-0.12070874861572435
228,58,0.24362068965517236,-0.10344827586207135,0.27586352657004815,-0.12147745571658516
229,55,0.09927272727272707,-0.2545454545454582,0.2733937198067631,-0.12379227053140003
230,40,0.01449999999999988,-0.4499999999999836,0.2709199919387341,-0.12676340185409016
231,55,-0.06654545454545492,-0.3818181818181759,0.26803343067163404,-0.12858725203906862
232,55,0.28763636363636347,-0.05454545454545747,0.26849119275289357,-0.12843482637141324
233,52,0.4738461538461536,0.1346153846153828,0.27060237329042613,-0.12640788415124604
234,37,0.3505405405405401,0.21621621621622125,0.2690431103948426,-0.12661160354552686
235,52,0.07942307692307676,-0.211538461538466,0.2679889224572001,-0.1264853977844905
236,58,0.13844827586206881,-0.06896551724137535,0.26700573498339847,-0.1260690210282715
237,47,0.25638297872340376,-0.10638297872340119,0.2678572866344603,-0.12550322061191527
238,45,0.17355555555555519,-0.17777777777777853,0.2679567186713636,-0.12581781580271667
239,53,0.2271698113207545,-0.15094339622641229,0.26606822984804235,-0.12780517258729904
240,52,-0.11211538461538463,-0.42307692307692013,0.26479061807932325,-0.12824642641433365
241,41,-0.3270731707317073,-0.7317073170731817,0.263833266047638,-0.12918853451756054
242,46,0.45043478260869546,0.0217391304347844,0.2646219081272082,-0.12892478546188688
243,57,0.3812280701754385,-0.0701754385964986,0.2666162380231969,-0.12657589510842054
244,54,0.2399999999999998,-0.07407407407407357,0.26721628703890316,-0.12547873412618318
245,52,0.021730769230768894,-0.48076923076922673,0.26674385823600455,-0.12706403544099776
246,63,0.24587301587301594,-0.1587301587301643,0.26802856568094924,-0.1260309796821555
247,47,0.40234042553191485,0.02127659574467455,0.26870029195610556,-0.12483640390617035
248,52,0.07557692307692301,-0.48076923076920774,0.26680269373806376,-0.1267464066740365
249,41,0.2675609756097559,-0.09756097560975328,0.26742201650231395,-0.12537733950492938
250,46,0.2882608695652174,-0.21739130434784323,0.2680782774927052,-0.1251634973337347
251,59,0.19745762711864387,-0.40677966101694085,0.2664840687506279,-0.1280530706603668
252,43,0.6820930232558139,0.18604651162790775,0.2690640394088667,-0.12647029255051667
253,50,-0.05100000000000035,-0.5599999999999773,0.267872533225936,-0.12807088199758232
254,59,0.17999999999999977,-0.1864406779661046,0.2662179551623602,-0.12998894138936243
255,44,0.5615909090909086,1.6607611750465232E-15,0.26835595776772214,-0.12900955253896312
256,48,0.4297916666666664,0.10416666666666836,0.26864568670822403,-0.1280916951538295
257,51,0.2692156862745095,-0.19607843137255743,0.2679855247285883,-0.12927221552070653
258,35,0.4799999999999997,0.17142857142855109,0.26858019722278087,-0.12799356007244814
259,52,0.11269230769230758,-0.13461538461540576,0.26686412551543764,-0.12853263602534354
260,50,-0.012200000000000122,-0.22000000000000364,0.26369744518205557,-0.13035606517803164
261,51,0.5466666666666664,0.11764705882352229,0.26661502866914766,-0.127250779599637
262,60,0.21749999999999983,-0.20000000000001414,0.2666010050251254,-0.12773869346733596
263,47,0.5614893617021275,0.17021276595744939,0.2663520305589061,-0.12796542018496107
264,47,-0.04702127659574504,-0.340425531914908,0.2646836970733176,-0.12953836870159846
265,40,0.2452499999999996,-0.17500000000000587,0.2648198470209337,-0.1293276972624792
266,51,0.5480392156862741,0.15686274509802484,0.26673908670287644,-0.1274391470529063
267,49,0.3065306122448978,-0.2857142857142905,0.2662778057372921,-0.1289380976346245
268,54,-0.15351851851851872,-0.62962962962963,0.26449466478759787,-0.13146768673243342
269,41,0.13658536585365855,-0.39024390243902396,0.2654537214220966,-0.13133246046933192
270,61,0.23311475409836052,-0.13114754098360698,0.2640281973816714,-0.13272910372608218
271,44,0.6020454545454544,0.02272727272726893,0.26700654911838756,-0.13047858942065454
272,40,0.3594999999999996,-0.05000000000000552,0.2663077233313165,-0.12976406533575285
273,54,0.50537037037037,-0.07407407407407536,0.26723773052504257,-0.12969867983472708
274,45,0.2644444444444443,-0.22222222222222243,0.26779671271553873,-0.12937380256125813
275,64,-0.1868750000000002,-0.6093750000000093,0.26430572349858905,-0.13361547762998766
276,37,0.12999999999999987,-0.4324324324324321,0.2647381168634572,-0.13361590473307083
277,53,0.5469811320754716,0.15094339622641223,0.26540076721179057,-0.1339592166363819
278,55,0.790363636363636,0.36363636363632706,0.2689342198045731,-0.12964641885766107
279,46,0.3328260869565215,-0.13043478260868224,0.26900836440592535,-0.12869092008465186
280,48,0.14666666666666653,-0.2916666666666687,0.266708312342569,-0.13068010075566755
281,54,0.21388888888888855,-0.11111111111111122,0.2667720499395889,-0.13068868304470405
282,47,0.3968085106382977,0.0638297872340477,0.2666072327994356,-0.13125818474866527
283,45,0.09644444444444455,-0.31111111111110346,0.26459353278936204,-0.13286995063966955
284,56,0.1967857142857141,-0.28571428571429286,0.2653174363618067,-0.13311198309689104
285,34,0.7058823529411766,0.470588235294105,0.26739542384840204,-0.1294224372543091
286,60,0.6758333333333332,0.1333333333333312,0.2691242198510164,-0.12905174149385956
287,43,0.3637209302325578,0.046511627906976896,0.268407854984894,-0.12970795568982887
288,37,0.36297297297297304,-3.156634113258553E-15,0.2680318934194587,-0.12999596285829643
289,54,0.23925925925925892,-0.037037037037035966,0.2687245206861753,-0.12936427850655915
290,56,0.3053571428571425,-0.03571428571428347,0.26976601109430126,-0.12829046898638433
291,46,0.4378260869565214,0.021739130434776818,0.2702672718103881,-0.1276853252647505
292,52,0.36788461538461514,-0.03846153846153904,0.2694180534543618,-0.1283913262733234
293,53,0.612641509433962,0.15094339622641775,0.2690168567679416,-0.12899969718380958
294,50,0.49279999999999985,-0.05999999999999721,0.27020367009477697,-0.12855414398064138
295,50,-0.14860000000000004,-0.47999999999999937,0.26541229838709657,-0.13266129032258073
296,41,-0.06560975609756113,-0.6097560975609586,0.2637743465536379,-0.1349278433747099
297,55,0.2789090909090907,0.03636363636363649,0.26518174474959594,-0.13277463651050075
298,39,0.5051282051282047,0.10256410256410099,0.2670204164139881,-0.1314938346472609
299,39,0.02333333333333323,-0.48717948717948917,0.26761446515397064,-0.1318881685575364
300,52,0.06057692307692308,-0.4230769230769257,0.2660441787415136,-0.13405613537339137
301,45,0.18977777777777757,-0.04444444444444821,0.2677995134806403,-0.13166430164200274
302,48,0.4818749999999996,0.08333333333332898,0.26774409408901934,-0.13119740444083947
303,51,0.10607843137254871,-0.6470588235293846,0.26531522400162144,-0.13531319683762402
304,48,0.22145833333333306,0.083333333333332,0.2646626823338733,-0.13442058346839533
305,59,-0.08067796610169489,-0.5084745762711811,0.26401679991903626,-0.135715008602368
306,55,0.2876363636363634,-0.10909090909090416,0.26469897804310405,-0.13467570575736085
307,52,-0.30000000000000004,-0.5769230769230917,0.2619660537482317,-0.13689634269549383
308,47,0.10425531914893613,-0.17021276595744192,0.262370018207566,-0.13544406231033765
309,52,0.9109615384615382,0.6153846153846081,0.2643878787878786,-0.13252525252525235
310,42,0.49142857142857127,0.0952380952381041,0.26555263689634245,-0.13133966457870255
311,55,0.32581818181818184,-1.473411039641028E-15,0.26622805247225007,-0.13077699293642767
312,52,0.5763461538461537,0.07692307692307475,0.2694469674033705,-0.12735896659602372
313,48,0.0881249999999999,-0.18750000000000389,0.26784957092377565,-0.12811711256940933
314,43,0.15813953488372073,-0.2093023255813904,0.2668868495361031,-0.12908430818878572
315,61,0.25999999999999995,-0.03278688524589491,0.2669659754378899,-0.12824642641433448
316,41,0.585121951219512,0.09756097560975577,0.26939665592264284,-0.12610797743755023
317,57,0.08263157894736825,-0.24561403508771545,0.2701892299949671,-0.12511323603422234
318,41,0.34512195121951195,0.09756097560975201,0.26978263057260726,-0.12498742075072948
319,55,0.4447272727272724,-7.23562623957977E-15,0.2704998994166162,-0.12452222892778109
320,51,0.0617647058823527,-0.2745098039215511,0.2700040196965127,-0.12531403879007125
321,51,-0.15411764705882358,-0.31372549019607343,0.26819415134157354,-0.1258165008541854
322,54,-0.0875925925925929,-0.25925925925923815,0.26731024096385525,-0.12510040160642547
323,50,0.37759999999999994,-0.03999999999999853,0.27080445917444995,-0.12182384252284802
324,46,0.33456521739130407,-0.021739130434780953,0.27029131089904557,-0.12164741336012025
325,45,0.24222222222222203,-0.24444444444442984,0.27205950346768504,-0.12061513719971816
326,46,0.015217391304347431,-0.34782608695650036,0.2720622802611751,-0.12054244098442941
